country,iso3c,region,Urban population (% of total population),Rural population (% of total population),Proportion of people living below 50 percent of median income (%),"Population, total",Population ages 65 and above (% of total population),Population density (people per sq. km of land area),"Physicians (per 1,000 people)","Life expectancy at birth, total (years)","GDP per capita, PPP (current international $)"
Mauritius,MUS,Sub-Saharan Africa,40.81,59.19,10.9,1262523,12.7923790409775,634.118177265899,2.7127,73.680243902439,26905.9186190916
Mexico,MEX,Latin America & Caribbean,81.3,18.7,17,127504125,8.32313814034198,65.1792165436354,2.4253,70.213,21512.2695445099
"Micronesia, Fed. Sts.",FSM,East Asia & Pacific,23.217,76.783,16,114164,6.15561823341859,161.615714285714,0.9391,70.71,3855.09960174907
Moldova,MDA,Europe & Central Asia,43.173,56.827,4.3,2592477,12.9836394544937,90.7834554101434,3.1026,68.846,15238.1482100206
Monaco,MCO,Europe & Central Asia,100,0,NA,36469,35.9181770819052,17603.6468330134,7.5067,NA,NA
Mongolia,MNG,East Asia & Pacific,68.93,31.07,9.9,3398366,4.6106717169369,2.14944908754824,3.8518,70.975,14230.2335543192
Montenegro,MNE,Europe & Central Asia,68.164,31.836,19.9,616159,16.5502146846707,46.0379925650558,2.74,73.8243902439024,26984.0688997887
Morocco,MAR,Middle East & North Africa,64.596,35.404,11.7,37457971,7.72048368183749,83.0754738964822,0.7308,74.042,9518.7060546875
Mozambique,MOZ,Sub-Saharan Africa,38.187,61.813,17.4,32969518,2.56835416022227,40.790803428368,0.085,59.325,1467.7697663869
Myanmar,MMR,East Asia & Pacific,31.771,68.229,6.7,54179306,6.8156428581791,82.4276954663153,0.7369,65.672,4870.02149904408
Namibia,NAM,Sub-Saharan Africa,53.956,46.044,24.1,2567012,3.969010669017,3.07321964313911,0.5902,59.269,11205.7060833117
Nauru,NRU,East Asia & Pacific,100,0,10.3,12668,2.45895168929586,625.55,1.3462,63.617,13117.9943611182
Nepal,NPL,South Asia,21.451,78.549,7.2,30547580,6.08722687689172,209.52207185211,0.8516,68.45,4725.0412440518
Netherlands,NLD,Europe & Central Asia,92.886,7.114,8,17703090,20.3147213387555,520.731927531928,4.0794,81.4609756097561,69577.4045796776
New Caledonia,NCL,East Asia & Pacific,72.325,27.675,NA,276780,11.0187773430292,15.0251641137856,1.982,79.1273414634146,NA
New Zealand,NZL,East Asia & Pacific,86.884,13.116,NA,5124100,16.3083886267852,19.412099806312,3.6183,82.2073170731707,51966.8625777626
Nicaragua,NIC,Latin America & Caribbean,59.556,40.444,18.3,6948392,5.29400183524476,56.9265414658468,1.6645,73.837,6874.8118293988
Niger,NER,Sub-Saharan Africa,16.894,83.106,7.9,26207977,2.40380442954075,19.9358348464514,0.0345,61.576,1505.24267567992
Nigeria,NGA,Sub-Saharan Africa,53.521,46.479,13.2,218541212,2.97448749157319,234.308687154825,0.3806,52.676,5860.29373601491
North Macedonia,MKD,Europe & Central Asia,59.118,40.882,18.4,2057679,14.9079443837966,81.8831086439334,2.8736,74.5368292682927,20161.7509096161
Northern Mariana Islands,MNP,East Asia & Pacific,91.983,8.017,NA,49551,10.7949385481625,107.567391304348,0.445,NA,NA
Norway,NOR,Europe & Central Asia,83.664,16.336,8.3,5457127,18.4354378165875,14.8470090866665,5.047,83.1634146341463,114898.759885569
Oman,OMN,Middle East & North Africa,87.75,12.25,NA,4576298,2.75863809568345,14.6057221324717,1.7738,72.541,41724.3387962114
Pakistan,PAK,South Asia,37.731,62.269,3.5,235824862,4.27369845280838,300.179167963885,1.1179,66.098,6437.16266275667
Palau,PLW,East Asia & Pacific,81.956,18.044,NA,18055,9.88119305436318,39.1826086956522,1.768,69.1292682926829,15211.8738137503
Panama,PAN,Latin America & Caribbean,69.141,30.859,21.5,4408581,8.77115661152155,58.6582232407657,1.6324,76.223,39279.6753765989
Papua New Guinea,PNG,East Asia & Pacific,13.582,86.418,19.5,10142619,3.18727851195428,21.9702270017224,0.0661,65.351,4446.61793832919
Paraguay,PRY,Latin America & Caribbean,62.818,37.182,17.2,6780744,6.258863334171,16.8733929020891,1.0515,70.262,15977.3116536226
Peru,PER,Latin America & Caribbean,78.708,21.292,15.9,34049588,8.4116963704275,26.34021171875,1.3694,72.377,15047.5183272037
Philippines,PHL,East Asia & Pacific,47.977,52.023,11.7,115559009,5.43676218268712,381.930871650401,0.7727,69.266,10133.1958943127
Poland,POL,Europe & Central Asia,60.134,39.866,8.8,37561599,18.5545625689627,123.316314929762,2.3788,75.6024390243903,43268.5437126031
Portugal,PRT,Europe & Central Asia,67.381,32.619,12.3,10379007,22.8970539482312,112.713054660414,5.4837,81.0731707317073,41451.6148656947
